learning rate = 0.01
start point = [0, 0]

results: 
1: [0.04000000000000001, 0.08000000000000002] = -0.7728000000000002
2: [0.07920000000000005, 0.15360000000000018] = -1.4449555200000015
3: [0.11761600000000005, 0.2213120000000002] = -2.0312104711680012
4: [0.1552636800000001, 0.2836070400000002] = -2.544072417122613
5: [0.1921584064000001, 0.3409184768000008] = -2.9941549555552887
6: [0.2283152382720001, 0.3936449986560008] = -3.3904675544412752
7: [0.2637489335065601, 0.4421533987635207] = -3.7406609120560264
8: [0.2984739548364286, 0.486781126862439] = -4.051234670651664
9: [0.3325044757397, 0.5278386367134439] = -4.3277132646493905
10: [0.365854386224906, 0.5656115457763684] = -4.574794796328437
11: [0.39853729850040787, 0.6003626221142571] = -4.79647708049206
12: [0.4305665525303997, 0.6323336123451165] = -4.996164363518921
13: [0.46195522147979173, 0.6617469233575073] = -5.176757683834276
14: [0.4927161170501959, 0.6888071694889067] = -5.340731385153737
15: [0.522861794709192, 0.7137025959297942] = -5.490197908160896
16: [0.5524045588150082, 0.7366063882554107] = -5.62696265982899
17: [0.581356467638708, 0.7576778771949778] = -5.752570483286547
18: [0.6097293382859346, 0.7770636470193806] = -5.868345017255937
19: [0.6375347515202159, 0.7948985552578302] = -5.975422036143619
20: [0.6647840564898115, 0.8113066708372036] = -6.07477769431404
21: [0.6914883753600153, 0.8264021371702267] = -6.167252456265769
22: [0.717658607852815, 0.8402899661966086] = -6.253571374396097
23: [0.7433054356957587, 0.8530667689008798] = -6.334361274443263
24: [0.7684393269818436, 0.8648214273888094] = -6.4101653227022695
25: [0.7930705404422066, 0.8756357131977046] = -6.481455376324158
26: [0.8172091296333625, 0.8855848561418883] = -6.548642456401042
27: [0.8408649470406953, 0.8947380676505372] = -6.612085631393258
28: [0.8640476480998812, 0.9031590222384943] = -6.672099554317372
29: [0.8867666951378835, 0.9109063004594148] = -6.728960859754459
30: [0.9090313612351258, 0.9180337964226616] = -6.782913595115991
31: [0.9308507340104234, 0.9245910927088486] = -6.834173833838568
32: [0.9522337193302151, 0.9306238052921405] = -6.882933595522834
33: [0.9731890449436107, 0.9361739008687693] = -6.9293641788549465
34: [0.9937252640447385, 0.941279988799268] = -6.973618996916512
35: [1.013850758763843, 0.9459775896953267] = -7.015835990748846
36: [1.0335737435885661, 0.9502993825197006] = -7.056139685406889
37: [1.0529022687167948, 0.9542754319181246] = -7.094642942893109
38: [1.071844223342459, 0.9579333973646746] = -7.131448458028124
39: [1.0904073388756097, 0.9612987255755007] = -7.166650036260329
40: [1.1085991920980978, 0.9643948275294616] = -7.200333686445209
41: [1.1264272082561357, 0.9672432413271047] = -7.232578556569814
42: [1.143898664091013, 0.9698637820209364] = -7.2634577361185215
43: [1.1610206908091927, 0.9722746794592615] = -7.293038945153369
44: [1.1778002769930087, 0.9744927051025206] = -7.3213851271152794
45: [1.1942442714531485, 0.976533288694319] = -7.348554959755916
46: [1.2103593860240855, 0.9784106255987735] = -7.374603296411595
47: [1.226152198303604, 0.9801377755508716] = -7.399581547969385
48: [1.2416291543375304, 0.9817267535068017] = -7.423538014299586
49: [1.2567965712507798, 0.9831886132262584] = -7.446518172594377
50: [1.2716606398257642, 0.9845335241681578] = -7.4685649289223575
51: [1.2862274270292489, 0.9857708422347051] = -7.489718838351875
52: [1.3005028784886639, 0.9869091748559287] = -7.510018298185544
53: [1.3144928209188906, 0.9879564408674544] = -7.529499718161944
54: [1.328202964500513, 0.988919925598055] = -7.54819767089909
55: [1.3416389052105027, 0.9898063315502106] = -7.566145025361718
56: [1.3548061271062926, 0.9906218250261938] = -7.583373065717061
57: [1.3677100045641668, 0.991372079024097] = -7.599911597590288
58: [1.3803558044728834, 0.9920623127021692] = -7.6157890434310005
59: [1.3927486883834264, 0.9926973276859956] = -7.631032528448248
60: [1.4048937146157578, 0.993281541471116] = -7.645667958356151
61: [1.4167958403234426, 0.9938190181534267] = -7.6597200899896105
62: [1.4284599235169737, 0.9943134967011522] = -7.6732125956947055
63: [1.4398907250466328, 0.99476841696506] = -7.6861681222670075
64: [1.4510929105457002, 0.9951869436078552] = -7.698608345099474
65: [1.4620710523347862, 0.9955719881192268] = -7.71055401810693
66: [1.4728296312880904, 0.9959262290696886] = -7.7220250199137785
67: [1.4833730386623287, 0.9962521307441136] = -7.733040396723168
68: [1.4937055778890822, 0.9965519602845845] = -7.743618402227856
69: [1.5038314663313006, 0.9968278034618178] = -7.753776534873546
70: [1.5137548370046745, 0.9970815791848724] = -7.763531572743433
71: [1.523479740264581, 0.9973150528500826] = -7.772899606296898
72: [1.5330101454592895, 0.9975298486220759] = -7.781896069164726
73: [1.5423499425501037, 0.9977274607323099] = -7.7905357671772135
74: [1.5515029436991017, 0.997909263873725] = -7.79883290577923
75: [1.5604728848251197, 0.9980765227638271] = -7.806801115967335
76: [1.5692634271286174, 0.9982304009427211] = -7.814453478867722
77: [1.577878158586045, 0.9983719688673034] = -7.821802549059815
78: [1.5863205954143242, 0.9985022113579191] = -7.828860376738375
79: [1.5945941835060378, 0.9986220344492855] = -7.835638528796627
80: [1.602702299835917, 0.9987322716933427] = -7.842148108904093
81: [1.6106482538391986, 0.9988336899578754] = -7.848399776645078
82: [1.6184352887624147, 0.9989269947612454] = -7.854403765777208
83: [1.6260665829871666, 0.9990128351803458] = -7.860169901663581
84: [1.6335452513274233, 0.9990918083659182] = -7.865707617927142
85: [1.6408743463008748, 0.9991644636966447] = -7.871025972371519
86: [1.6480568593748572, 0.9992313066009131] = -7.876133662208743
87: [1.6550957221873601, 0.99929280207284] = -7.881039038630909
88: [1.661993807743613, 0.9993493779070091] = -7.885750120759907
89: [1.6687539315887407, 0.9994014276744484] = -7.8902746090067675
90: [1.675378852956966, 0.9994493134604919] = -7.894619897869806
91: [1.6818712758978267, 0.9994933683836525] = -7.898793088198745
92: [1.6882338503798702, 0.9995338989129603] = -7.902800998950146
93: [1.6944691733722728, 0.9995711869999234] = -7.906650178457821
94: [1.7005797899048274, 0.9996054920399295] = -7.91034691524044
95: [1.7065681941067308, 0.9996370526767352] = -7.913897248367177
96: [1.7124368302245963, 0.9996660884625964] = -7.917306977401063
97: [1.7181880936201044, 0.9996928013855869] = -7.920581671938574
98: [1.7238243317477022, 0.99971737727474] = -7.923726680762978
99: [1.7293478451127482, 0.9997399870927608] = -7.92674714062804
100: [1.7347608882104935, 0.99976078812534] = -7.929647984687829
101: [1.7400656704462836, 0.9997799250753129] = -7.93243395058757
102: [1.7452643570373578, 0.9997975310692878] = -7.9351095882297376
103: [1.7503590698966107, 0.9998137285837447] = -7.937679267228953
104: [1.7553518884986785, 0.999828630297045] = -7.940147184068537
105: [1.7602448507287047, 0.9998423398732814] = -7.942517368971036
106: [1.7650399537141306, 0.9998549526834188] = -7.944793692494446
107: [1.769739154639848, 0.9998665564687453] = -7.946979871865324
108: [1.774344371547051, 0.9998772319512457] = -7.949079477059529
109: [1.7788574841161096, 0.999887053395146] = -7.951095936640802
110: [1.7832803344337873, 0.9998960891235343] = -7.953032543366988
111: [1.7876147277451115, 0.9999044019936516] = -7.954892459573302
112: [1.7918624331902093, 0.9999120498341595] = -7.956678722341573
113: [1.7960251845264052, 0.9999190858474267] = -7.958394248464113
114: [1.8001046808358772, 0.9999255589796325] = -7.960041839210412
115: [1.8041025872191596, 0.9999315142612619] = -7.961624184904587
116: [1.8080205354747765, 0.9999369931203609] = -7.963143869321141
117: [1.811860124765281, 0.999942033670732] = -7.964603373906283
118: [1.8156229222699756, 0.9999466709770735] = -7.966005081831798
119: [1.819310463824576, 0.9999509372989076] = -7.967351281888115
120: [1.8229242545480846, 0.999954862314995] = -7.968644172223006
121: [1.826465769457123, 0.9999584733297954] = -7.969885863932034
122: [1.8299364540679806, 0.9999617954634116] = -7.971078384506682
123: [1.8333377249866203, 0.9999648518263387] = -7.972223681145788
124: [1.8366709704868878, 0.9999676636802316] = -7.973323623935755
125: [1.839937551077149, 0.9999702505858131] = -7.97438000890471
126: [1.8431388000556057, 0.999972630538948] = -7.975394560955656
127: [1.8462760240544935, 0.9999748200958322] = -7.976368936683395
128: [1.8493505035734037, 0.9999768344881655] = -7.977304727079849
129: [1.8523634935019355, 0.9999786877291122] = -7.978203460132196
130: [1.8553162236318967, 0.9999803927107832] = -7.979066603318081
131: [1.8582098991592588, 0.9999819612939205] = -7.979895566001993
132: [1.8610457011760737, 0.9999834043904069] = -7.980691701736694
133: [1.8638247871525522, 0.9999847320391744] = -7.98145631047351
134: [1.866548291409501, 0.9999859534760405] = -7.982190640685057
135: [1.869217325581311, 0.9999870771979571] = -7.9828958914039
136: [1.8718329790696848, 0.9999881110221205] = -7.983573214180456
137: [1.874396319488291, 0.9999890621403509] = -7.984223714963366
138: [1.8769083930985253, 0.9999899371691228] = -7.984848455905371
139: [1.8793702252365547, 0.999990742195593] = -7.985448457097693
140: [1.8817828207318237, 0.9999914828199455] = -7.986024698235707
141: [1.8841471643171872, 0.9999921641943494] = -7.986578120218652
142: [1.8864642210308435, 0.9999927910588015] = -7.987109626685991
143: [1.8887349366102266, 0.9999933677740973] = -7.9876200854929245
144: [1.8909602378780221, 0.9999938983521697] = -7.988110330127462
145: [1.8931410331204617, 0.9999943864839961] = -7.988581161071391
146: [1.8952782124580525, 0.9999948355652764] = -7.989033347107334
