learning rate = 0.1
start point = [0, 0]

results: 
1: [0.2, 0.10000000000000012] = -1.520000000000001
2: [0.38000000000000017, 0.1900000000000002] = -2.7512000000000016
3: [0.542000000000001, 0.2710000000000003] = -3.748472000000005
4: [0.687800000000001, 0.3439000000000003] = -4.556262320000004
5: [0.8190200000000009, 0.4095100000000004] = -5.210572479200003
6: [0.9371180000000017, 0.46855900000000056] = -5.740563708152006
7: [1.043406200000001, 0.5217031000000005] = -6.169856603603124
8: [1.1390655800000011, 0.5695327900000006] = -6.517583848918531
9: [1.225159022000001, 0.6125795110000005] = -6.79924291762401
10: [1.302643119800001, 0.6513215599000006] = -7.027386763275449
11: [1.3723788078200014, 0.6861894039100009] = -7.212183278253115
12: [1.4351409270380013, 0.7175704635190009] = -7.361868455385023
13: [1.4916268343342025, 0.7458134171671014] = -7.483113448861872
14: [1.5424641509007824, 0.7712320754503913] = -7.581321893578116
15: [1.5882177358107041, 0.7941088679053521] = -7.660870733798274
16: [1.6293959622296283, 0.814697981114817] = -7.725305294376597
17: [1.666456366006665, 0.8332281830033351] = -7.777497288445044
18: [1.699810729405999, 0.8499053647030016] = -7.819772803640486
19: [1.7298296564653992, 0.8649148282327015] = -7.854015970948794
20: [1.7568466908188602, 0.8784233454094313] = -7.881752936468524
21: [1.7811620217369741, 0.8905810108684883] = -7.904219878539504
22: [1.8030458195632766, 0.9015229097816394] = -7.922418101616998
23: [1.8227412376069492, 0.9113706188034747] = -7.937158662309768
24: [1.840467113846254, 0.9202335569231272] = -7.949098516470912
25: [1.8564204024616286, 0.9282102012308145] = -7.9587697983414385
26: [1.8707783622154657, 0.9353891811077331] = -7.9666035366565655
27: [1.8837005259939192, 0.9418502629969597] = -7.972948864691818
28: [1.8953304733945273, 0.9476652366972674] = -7.9780885804003745
29: [1.9057974260550745, 0.9528987130275398] = -7.982251750124303
30: [1.9152176834495582, 0.9576088417247861] = -7.985623917600684
31: [1.9236959151046022, 0.9618479575523075] = -7.988355373256554
32: [1.931326323594142, 0.9656631617970767] = -7.990567852337809
33: [1.938193691234728, 0.9690968456173691] = -7.992359960393625
34: [1.944374322111255, 0.9721871610556322] = -7.993811567918836
35: [1.9499368899001295, 0.974968444950069] = -7.9949873700142575
36: [1.9549432009101164, 0.9774716004550621] = -7.995939769711549
37: [1.9594488808191048, 0.979724440409556] = -7.996711213466354
38: [1.9635039927371944, 0.9817519963686003] = -7.997336082907747
39: [1.9671535934634752, 0.9835767967317403] = -7.9978422271552745
40: [1.9704382341171278, 0.9852191170585664] = -7.998252203995772
41: [1.973394410705415, 0.9866972053527097] = -7.998584285236576
42: [1.9760549696348735, 0.9880274848174387] = -7.998853271041627
43: [1.9784494726713864, 0.9892247363356949] = -7.999071149543718
44: [1.980604525404248, 0.9903022627021248] = -7.9992476311304115
45: [1.982544072863823, 0.9912720364319124] = -7.999390581215633
46: [1.984289665577441, 0.9921448327887212] = -7.999506370784663
47: [1.9858606990196968, 0.9929303495098492] = -7.999600160335577
48: [1.9872746291177246, 0.9936373145588643] = -7.999676129871817
49: [1.9885471662059522, 0.9942735831029779] = -7.999737665196172
50: [1.9896924495853543, 0.9948462247926801] = -7.999787508808899
51: [1.9907232046268188, 0.995361602313412] = -7.999827882135208
52: [1.9916508841641372, 0.9958254420820711] = -7.999860584529519
53: [1.9924857957477233, 0.996242897873864] = -7.99988707346891
54: [1.993237216172951, 0.9966186080864776] = -7.999908529509817
55: [1.9939134945556511, 0.9969567472778299] = -7.999925908902952
56: [1.994522145100086, 0.9972610725500469] = -7.999939986211391
57: [1.9950699305900774, 0.9975349652950423] = -7.999951388831227
58: [1.9955629375310697, 0.997781468765538] = -7.999960624953293
59: [1.9960066437779629, 0.9980033218889842] = -7.999968106212168
60: [1.9964059794001665, 0.9982029897000869] = -7.999974166031856
61: [1.99676538146015, 0.9983826907300782] = -7.999979074485803
62: [1.997088843314135, 0.9985444216570704] = -7.9999830503335
63: [1.9973799589827215, 0.9986899794913631] = -7.999986270770136
64: [1.9976419630844493, 0.9988209815422271] = -7.999988879323809
65: [1.9978777667760048, 0.9989388833880044] = -7.999990992252286
66: [1.9980899900984044, 0.9990449950492037] = -7.9999927037243515
67: [1.9982809910885642, 0.9991404955442833] = -7.999994090016725
68: [1.9984528919797078, 0.9992264459898551] = -7.999995212913547
69: [1.998607602781737, 0.9993038013908696] = -7.999996122459973
70: [1.9987468425035633, 0.9993734212517826] = -7.999996859192578
71: [1.9988721582532067, 0.9994360791266044] = -7.999997455945988
72: [1.998984942427886, 0.999492471213944] = -7.999997939316251
73: [1.9990864481850974, 0.9995432240925496] = -7.999998330846163
74: [1.9991778033665877, 0.9995889016832946] = -7.999998647985392
75: [1.999260023029929, 0.999630011514965] = -7.999998904868168
76: [1.999334020726936, 0.9996670103634685] = -7.9999991129432155
77: [1.9994006186542423, 0.9997003093271216] = -7.999999281484005
78: [1.9994605567888182, 0.9997302783944094] = -7.9999994180020435
79: [1.9995145011099364, 0.9997572505549687] = -7.999999528581656
80: [1.9995630509989428, 0.9997815254994719] = -7.999999618151141
81: [1.9996067458990485, 0.9998033729495247] = -7.999999690702424
82: [1.9996460713091437, 0.9998230356545722] = -7.999999749468963
83: [1.9996814641782295, 0.999840732089115] = -7.999999797069861
84: [1.9997133177604065, 0.9998566588802035] = -7.999999835626587
85: [1.999741985984366, 0.9998709929921832] = -7.999999866857536
86: [1.9997677873859294, 0.9998838936929648] = -7.999999892154603
87: [1.9997910086473365, 0.9998955043236684] = -7.999999912645229
88: [1.999811907782603, 0.9999059538913015] = -7.999999929242636
89: [1.9998307170043434, 0.9999153585021715] = -7.999999942686535
90: [1.9998476453039091, 0.9999238226519543] = -7.9999999535760935
91: [1.9998628807735181, 0.999931440386759] = -7.999999962396635
92: [1.9998765926961592, 0.9999382963480872] = -7.999999969541275
93: [1.9998889334265433, 0.9999444667132781] = -7.999999975328432
94: [1.9999000400838889, 0.9999500200419503] = -7.99999998001603
95: [1.9999100360755, 0.9999550180377553] = -7.999999983812985
96: [1.9999190324679499, 0.9999595162339798] = -7.999999986888517
97: [1.999927129221155, 0.9999635646105819] = -7.999999989379699
98: [1.9999344162990393, 0.9999672081495237] = -7.999999991397556
99: [1.9999409746691355, 0.9999704873345714] = -7.999999993032021
100: [1.999946877202222, 0.9999734386011142] = -7.999999994355937
101: [1.9999521894819998, 0.9999760947410028] = -7.9999999954283085
102: [1.9999569705338, 0.9999784852669026] = -7.99999999629693
103: [1.99996127348042, 0.9999806367402123] = -7.999999997000513
104: [1.9999651461323782, 0.9999825730661911] = -7.9999999975704155
105: [1.9999686315191407, 0.999984315759572] = -7.999999998032036
106: [1.9999717683672265, 0.9999858841836149] = -7.99999999840595
107: [1.9999745915305036, 0.9999872957652534] = -7.9999999987088195
108: [1.9999771323774533, 0.999988566188728] = -7.999999998954143
109: [1.999979419139708, 0.9999897095698552] = -7.999999999152856
110: [1.999981477225737, 0.9999907386128697] = -7.999999999313814
111: [1.9999833295031633, 0.9999916647515827] = -7.9999999994441895
112: [1.999984996552847, 0.9999924982764244] = -7.999999999549793
113: [1.999986496897562, 0.999993248448782] = -7.999999999635333
114: [1.9999878472078059, 0.9999939236039038] = -7.999999999704619
115: [1.9999890624870218, 0.9999945312435135] = -7.999999999760742
116: [1.9999901562383195, 0.9999950781191619] = -7.9999999998062
117: [1.9999911406144875, 0.9999955703072457] = -7.9999999998430225
118: [1.9999920265530389, 0.9999960132765212] = -7.999999999872848
119: [1.999992823897735, 0.9999964119488691] = -7.999999999897007
120: [1.9999935415079617, 0.9999967707539822] = -7.999999999916576
121: [1.9999941873571654, 0.9999970936785839] = -7.9999999999324265
122: [1.999994768621449, 0.9999973843107255] = -7.999999999945265
123: [1.999995291759304, 0.9999976458796529] = -7.999999999955665
124: [1.9999957625833737, 0.9999978812916874] = -7.999999999964088
125: [1.9999961863250364, 0.9999980931625188] = -7.999999999970912
126: [1.9999965676925329, 0.9999982838462669] = -7.999999999976438
127: [1.9999969109232796, 0.9999984554616401] = -7.999999999980915
128: [1.9999972198309517, 0.9999986099154761] = -7.999999999984541
129: [1.9999974978478565, 0.9999987489239285] = -7.9999999999874785
130: [1.9999977480630708, 0.9999988740315356] = -7.999999999989858
131: [1.9999979732567639, 0.999998986628382] = -7.999999999991784
132: [1.9999981759310879, 0.9999990879655438] = -7.999999999993346
133: [1.999998358337979, 0.9999991791689894] = -7.99999999999461
134: [1.9999985225041812, 0.9999992612520904] = -7.999999999995634
135: [1.999998670253763, 0.9999993351268813] = -7.999999999996463
136: [1.9999988032283857, 0.9999994016141932] = -7.999999999997136
137: [1.9999989229055473, 0.9999994614527739] = -7.99999999999768
138: [1.9999990306149924, 0.9999995153074965] = -7.999999999998121
139: [1.999999127553493, 0.9999995637767468] = -7.999999999998478
140: [1.9999992147981436, 0.9999996073990721] = -7.999999999998767
141: [1.999999293318329, 0.9999996466591649] = -7.999999999999001
142: [1.9999993639864964, 0.9999996819932483] = -7.999999999999191
143: [1.9999994275878468, 0.9999997137939235] = -7.9999999999993445
144: [1.9999994848290619, 0.999999742414531] = -7.999999999999469
145: [1.9999995363461558, 0.999999768173078] = -7.99999999999957
146: [1.9999995827115402, 0.9999997913557702] = -7.999999999999652
147: [1.9999996244403861, 0.9999998122201932] = -7.999999999999718
