learning rate = 0.1
start point = [0.75, -1.25]

results: 
1: [0.7430699621956797, -1.2568065247938216] = -2.8614411932654754e-12
2: [0.7359708850827129, -1.2635008881511842] = -2.5700088624780894e-12
3: [0.7286989980981132, -1.2700815125902283] = -2.308070666364779e-12
4: [0.7212507155764003, -1.2765468748311835] = -2.0726618970125197e-12
5: [0.7136226680626718, -1.2828955177834664] = -1.8611142121348974e-12
6: [0.7058117342920986, -1.2891260629358858] = -1.6710260970294795e-12
7: [0.6978150734315995, -1.2952372230181737] = -1.5002362683217589e-12
8: [0.6896301571188383, -1.3012278147780205] = -1.3467997266102948e-12
9: [0.6812548007821759, -1.3070967716961819] = -1.2089661942804866e-12
10: [0.6726871936979634, -1.312843156449328] = -1.085160700978997e-12
11: [0.6639259272047268, -1.3184661729125406] = -9.739661028771328e-13
12: [0.6549700204950488, -1.3239651774884635] = -8.741073431199273e-13
13: [0.6458189434047181, -1.3293396895449832] = -7.844372800025697e-13
14: [0.6364726356414097, -1.3345894007450005] = -7.039239266731245e-13
15: [0.6269315219742, -1.3397141830745656] = -6.316389616790775e-13
16: [0.6171965229109277, -1.3447140953718062] = -5.667473836889993e-13
17: [0.607269060538192, -1.3495893882066419] = -5.084981963040078e-13
18: [0.5971510592572578, -1.3543405069775405] = -4.562160202448843e-13
19: [0.5868449412809946, -1.3589680931350208] = -4.0929354042846397e-13
20: [0.5763536168721888, -1.3634729834801862] = -3.6718470467154935e-13
21: [0.5656804694297036, -1.367856207530607] = -3.2939859906999554e-13
22: [0.5548293356506366, -1.3721189829897327] = -2.954939325899325e-13
23: [0.5438044811194935, -1.376262709401345] = -2.650740701567845e-13
24: [0.5326105717629492, -1.3802889601055472] = -2.3778255960704045e-13
25: [0.5212526417263287, -1.3841994726593332] = -2.1329910333936082e-13
26: [0.5097360582504475, -1.3879961378979269] = -1.913359304390147e-13
27: [0.4980664842345509, -1.3916809878593301] = -1.7163452947444867e-13
28: [0.486249839143439, -1.3952561827900216] = -1.5396270616829643e-13
29: [0.4742922589473215, -1.398723997469874] = -1.3811193372535778e-13
30: [0.46220005575709255, -1.4020868070914234] = -1.2389496683085392e-13
31: [0.4499796777861144, -1.4053470729247273] = -1.1114369322962137e-13
32: [0.4376376702061667, -1.408507327983366] = -9.970719940102037e-14
33: [0.42518063741947637, -1.4115701628962483] = -8.945002918276939e-14
34: [0.4126152071724366, -1.4145382121601198] = -8.025061629891053e-14
35: [0.39994799688075827, -1.4174141409321575] = -7.199987363133775e-14
36: [0.3871855824462963, -1.4202006324923513] = -6.459992377057214e-14
37: [0.3743344697610471, -1.4229003764769332] = -5.796295690430187e-14
38: [0.3614010690387192, -1.4255160579654396] = -5.2010203470515745e-14
39: [0.3483916720239518, -1.4280503474713084] = -4.667101023502701e-14
40: [0.33531243209016376, -1.4305058918712166] = -4.1882009561059994e-14
41: [0.32216934716852336, -1.4328853062823323] = -3.758637263798749e-14
42: [0.3089682454113664, -1.4351911668805386] = -3.373313833652128e-14
43: [0.2957147734653687, -1.4374260046405634] = -3.0276610169524084e-14
44: [0.2824143871883453, -1.4395922999608863] = -2.717581457136351e-14
45: [0.269072344643492, -1.4416924781344862] = -2.4394014369834742e-14
46: [0.2556937011680308, -1.4437289056091713] = -2.1898271924049118e-14
47: [0.2422833063327323, -1.4457038869868792] = -1.96590569412032e-14
48: [0.2288458025886965, -1.4476196627003766] = -1.7649894474894315e-14
49: [0.21538562540851522, -1.4494784073077591] = -1.5847049049269606e-14
50: [0.2019070047345875, -1.4512822283445874] = -1.422924125318147e-14
51: [0.18841396755560522, -1.453033165674623] = -1.2777393509918945e-14
52: [0.1749103414426156, -1.4547331912816746] = -1.1474402054974992e-14
53: [0.1613997588928951, -1.456384209450013] = -1.0304932449524611e-14
54: [0.14788566233146969, -1.457988057279072] = -9.255236224487972e-15
55: [0.13437130964667374, -1.4595465054876964] = -8.312986490755071e-15
56: [0.12085978014341581, -1.4610612594639616] = -7.467130569079129e-15
57: [0.10735398080373024, -1.462533960517872] = -6.707757889572656e-15
58: [0.0938566527717162, -1.4639661873045131] = -6.025981587695119e-15
59: [0.08037037797523172, -1.4653594573816358] = -5.413832383670972e-15
60: [0.0668975858199596, -1.4667152288747187] = -4.864163475993238e-15
61: [0.053440559893977974, -1.4680349022230303] = -4.370565309400071e-15
62: [0.04000144463226914, -1.4693198219835] = -3.927289194466397e-15
63: [0.02658225190201697, -1.4705712786742997] = -3.529178860854592e-15
64: [0.013184867468538065, -1.4717905106387106] = -3.171609120830524e-15
65: [-0.00018894268265587377, -1.472978705916168] = -2.850430904465841e-15
66: [-0.013537526190617533, -1.4741370041077921] = -2.5619220042742133e-15
67: [-0.02685933835045716, -1.4752664982250188] = -2.3027429355504232e-15
68: [-0.04015293634155755, -1.4763682365136943] = -2.069897380195771e-15
69: [-0.0534169736668152, -1.4774432242443976] = -1.8606967370616673e-15
70: [-0.06665019480270695, -1.4784924254657563] = -1.672728351348329e-15
71: [-0.0798514300684236, -1.4795167647139968] = -1.5038270400962633e-15
72: [-0.09301959071452444, -1.4805171286753185] = -1.3520495706374428e-15
73: [-0.10615366422927917, -1.4814943677988834] = -1.2156517846084544e-15
74: [-0.1192527098594886, -1.4824492978585921] = -1.0930680921734906e-15
75: [-0.13231585434375745, -1.483382701461705] = -9.828930898091506e-16
76: [-0.14534228785353775, -1.4842953295035213] = -8.838650807250564e-16
77: [-0.15833126013404564, -1.4851879025689734] = -7.948513000329595e-16
78: [-0.17128207684173935, -1.4860611122796992] = -7.148346674427543e-16
79: [-0.1841940960687147, -1.4869156225886704] = -6.429019087282518e-16
80: [-0.1970667250499606, -1.4877520710216827] = -5.782329037895285e-16
81: [-0.2098994170445017, -1.488571069867472] = -5.200911339564007e-16
82: [-0.22269166838013263, -1.4893732073191317] = -4.678151144582383e-16
83: [-0.23544301566260403, -1.4901590485639429] = -4.2081070990248343e-16
84: [-0.24815303313281106, -1.4909291368277249] = -3.7854424121456714e-16
85: [-0.2608213301676571, -1.4916839943735687] = -3.4053630206000606e-16
86: [-0.2734475489233732, -1.492424123453715] = -3.0635621130406365e-16
87: [-0.2860313621020987, -1.4931500072220814] = -2.7561703568840605e-16
88: [-0.29857247084959976, -1.4938621106019618] = -2.4797112378544565e-16
89: [-0.31107060276169507, -1.4945608811181477] = -2.231060983857753e-16
90: [-0.3235255100084715, -1.4952467496875892] = -2.007412599986089e-16
91: [-0.33593696755761104, -1.495920131376451] = -1.8062435903204765e-16
92: [-0.3483047715006124, -1.4965814261203414] = -1.6252869864611388e-16
93: [-0.36062873746732427, -1.4972310194133676] = -1.4625053419958313e-16
94: [-0.3729086991313489, -1.4978692829641433] = -1.3160673875389007e-16
95: [-0.38514450679603873, -1.4984965753222297] = -1.1843270725574696e-16
96: [-0.39733602605913076, -1.4991132424754292] = -1.0658047485629366e-16
97: [-0.4094831365489425, -1.4997196184200958] = -9.59170273633267e-17
98: [-0.421585730730431, -1.5003160257046821] = -8.632278409837253e-17
99: [-0.43364371277308217, -1.5009027759495601] = -7.769023546671291e-17
100: [-0.44565699748108023, -1.5014801703422849] = -6.992271937747877e-17
101: [-0.4576255092794666, -1.5020485001106303] = -6.293332228504165e-17
102: [-0.4695491812516652, -1.5026080469748593] = -5.664389209058138e-17
103: [-0.4814279542282447, -1.5031590835791326] = -5.0984151457319594e-17
104: [-0.4932617759209504, -1.5037018739039623] = -4.5890901270928415e-17
105: [-0.5050506000996121, -1.5042366736606685] = -4.1307305032601666e-17
106: [-0.5167943858093091, -1.5047637306686008] = -3.7182245919606074e-17
107: [-0.5284930966260069, -1.5052832852155285] = -3.346974909702622e-17
108: [-0.5401466999463111, -1.5057955704028714] = -3.012846262519609e-17
109: [-0.5517551663093424, -1.5063008124764223] = -2.7121190990254523e-17
110: [-0.5633184687500424, -1.506799231142696] = -2.4414475897445045e-17
111: [-0.5748365821786046, -1.5072910398728046] = -2.1978219515600813e-17
112: [-0.5863094827879232, -1.5077764461930316] = -1.978534585398633e-17
113: [-0.5977371474835398, -1.5082556519642363] = -1.781149639406059e-17
114: [-0.6091195533355028, -1.508728853650139] = -1.6034756495348036e-17
115: [-0.6204566770513292, -1.5091962425748155] = -1.4435409450023982e-17
116: [-0.6317484944673645, -1.5096580051702213] = -1.2995715379890442e-17
117: [-0.642994980056342, -1.5101143232147822] = -1.1699712455560603e-17
118: [-0.6541961064514735, -1.510565374062587] = -1.05330381748418e-17
119: [-0.6653518439834111, -1.5110113308647843] = -9.482768667581988e-18
120: [-0.6764621602304, -1.5114523627827678] = -8.53727420145327e-18
121: [-0.6875270195800266, -1.5118886351938718] = -7.6860892487273e-18
122: [-0.6985463827999518, -1.512320309890577] = -6.919795640910425e-18
123: [-0.7095202066180057, -1.5127475452728298] = -6.2299174879042265e-18
124: [-0.7204484433097247, -1.51317049653437] = -5.60882667264888e-18
125: [-0.7313310402925688, -1.5135893158431108] = -5.049657853002993e-18
126: [-0.7421679397247826, -1.5140041525165369] = -4.546232010905294e-18
127: [-0.7529590781095798, -1.5144151531916137] = -4.092987686290474e-18
128: [-0.7637043859012758, -1.5148224619905173] = -3.684919120565591e-18
129: [-0.7744037871151599, -1.515226220681407] = -3.3175206130214908e-18
130: [-0.7850571989378391, -1.5156265688355617] = -2.986736464022383e-18
