learning rate = 0.1
start point = [0, 0]

results: 
1: [1.6809330197993348e-09, 1.6809330197993348e-09] = -2.6752880475849705e-09
2: [3.3618660737558625e-09, 3.3618660737558625e-09] = -2.6752881040956702e-09
3: [5.042799161870142e-09, 5.042799161870142e-09] = -2.6752881606063997e-09
4: [6.723732284141983e-09, 6.723732284141983e-09] = -2.6752882171171214e-09
5: [8.404665440571484e-09, 8.404665440571484e-09] = -2.6752882736278534e-09
6: [1.0085598631159054e-08, 1.0085598631159054e-08] = -2.675288330138577e-09
7: [1.176653185590435e-08, 1.176653185590435e-08] = -2.675288386649311e-09
8: [1.34474651148069e-08, 1.34474651148069e-08] = -2.675288443160037e-09
9: [1.512839840786719e-08, 1.512839840786719e-08] = -2.6752884996707835e-09
10: [1.6809331735085226e-08, 1.6809331735085226e-08] = -2.6752885561815117e-09
11: [1.849026509646104e-08, 1.849026509646104e-08] = -2.6752886126922504e-09
12: [2.0171198491994024e-08, 2.0171198491994024e-08] = -2.675288669203e-09
13: [2.1852131921684652e-08, 2.1852131921684652e-08] = -2.675288725713751e-09
14: [2.3533065385533015e-08, 2.3533065385533015e-08] = -2.6752887822244844e-09
15: [2.5213998883539054e-08, 2.5213998883539054e-08] = -2.6752888387352375e-09
16: [2.689493241570285e-08, 2.689493241570285e-08] = -2.6752888952459923e-09
17: [2.8575865982024446e-08, 2.8575865982024446e-08] = -2.6752889517567474e-09
18: [3.025679958250359e-08, 3.025679958250359e-08] = -2.6752890082675042e-09
19: [3.1937733217140465e-08, 3.1937733217140465e-08] = -2.6752890647782623e-09
20: [3.361866688593446e-08, 3.361866688593446e-08] = -2.6752891212890216e-09
21: [3.529960058888627e-08, 3.529960058888627e-08] = -2.6752891777997817e-09
22: [3.69805343259959e-08, 3.69805343259959e-08] = -2.6752892343105435e-09
23: [3.8661468097263875e-08, 3.8661468097263875e-08] = -2.6752892908213156e-09
24: [4.034240190268856e-08, 4.034240190268856e-08] = -2.67528934733208e-09
25: [4.2023335742270995e-08, 4.2023335742270995e-08] = -2.6752894038428636e-09
26: [4.3704269616011204e-08, 4.3704269616011204e-08] = -2.6752894603536295e-09
27: [4.5385203523909235e-08, 4.5385203523909235e-08] = -2.675289516864407e-09
28: [4.706613746596504e-08, 4.706613746596504e-08] = -2.6752895733751944e-09
29: [4.8747071442178667e-08, 4.8747071442178667e-08] = -2.6752896298859636e-09
30: [5.042800545254958e-08, 5.042800545254958e-08] = -2.675289686396745e-09
31: [5.210893949707869e-08, 5.210893949707869e-08] = -2.675289742907536e-09
32: [5.378987357576561e-08, 5.378987357576561e-08] = -2.6752897994183184e-09
33: [5.547080768860926e-08, 5.547080768860926e-08] = -2.6752898559291116e-09
34: [5.7151741835610696e-08, 5.7151741835610696e-08] = -2.6752899124399156e-09
35: [5.8832676016771005e-08, 5.8832676016771005e-08] = -2.675289968950702e-09
36: [6.051361023208828e-08, 6.051361023208828e-08] = -2.6752900254614996e-09
37: [6.21945444815632e-08, 6.21945444815632e-08] = -2.6752900819723077e-09
38: [6.387547876519583e-08, 6.387547876519583e-08] = -2.675290138483097e-09
39: [6.555641308298718e-08, 6.555641308298718e-08] = -2.6752901949939073e-09
40: [6.723734743493514e-08, 6.723734743493514e-08] = -2.675290251504709e-09
41: [6.89182818210407e-08, 6.89182818210407e-08] = -2.6752903080155214e-09
42: [7.059921624130371e-08, 7.059921624130371e-08] = -2.675290364526335e-09
43: [7.228015069572458e-08, 7.228015069572458e-08] = -2.6752904210371496e-09
44: [7.396108518430614e-08, 7.396108518430614e-08] = -2.675290477547965e-09
45: [7.564201970704224e-08, 7.564201970704224e-08] = -2.675290534058783e-09
46: [7.732295426393655e-08, 7.732295426393655e-08] = -2.675290590569601e-09
47: [7.900388885498836e-08, 7.900388885498836e-08] = -2.6752906470804205e-09
48: [8.068482348019795e-08, 8.068482348019795e-08] = -2.675290703591241e-09
49: [8.236575813956533e-08, 8.236575813956533e-08] = -2.675290760102072e-09
50: [8.404669283309053e-08, 8.404669283309053e-08] = -2.6752908166128953e-09
51: [8.572762756077294e-08, 8.572762756077294e-08] = -2.675290873123739e-09
52: [8.740856232261382e-08, 8.740856232261382e-08] = -2.6752909296345644e-09
53: [8.908949711861172e-08, 8.908949711861172e-08] = -2.6752909861454093e-09
54: [9.077043194876716e-08, 9.077043194876716e-08] = -2.675291042656247e-09
55: [9.245136681308034e-08, 9.245136681308034e-08] = -2.675291099167095e-09
56: [9.413230171155149e-08, 9.413230171155149e-08] = -2.675291155677925e-09
57: [9.581323664418038e-08, 9.581323664418038e-08] = -2.675291212188766e-09
58: [9.749417161096705e-08, 9.749417161096705e-08] = -2.675291268699617e-09
59: [9.917510661191313e-08, 9.917510661191313e-08] = -2.6752913252104796e-09
60: [1.008560416470149e-07, 1.008560416470149e-07] = -2.6752913817213237e-09
61: [1.0253697671627505e-07, 1.0253697671627505e-07] = -2.6752914382321785e-09
62: [1.0421791181969204e-07, 1.0421791181969204e-07] = -2.6752914947430255e-09
63: [1.0589884695726679e-07, 1.0589884695726679e-07] = -2.6752915512539014e-09
64: [1.0757978212899993e-07, 1.0757978212899993e-07] = -2.6752916077647505e-09
65: [1.0926071733489036e-07, 1.0926071733489036e-07] = -2.6752916642756194e-09
66: [1.1094165257493868e-07, 1.1094165257493868e-07] = -2.6752917207864903e-09
67: [1.1262258784914479e-07, 1.1262258784914479e-07] = -2.675291777297352e-09
68: [1.1430352315750871e-07, 1.1430352315750871e-07] = -2.675291833808225e-09
69: [1.1598445850003044e-07, 1.1598445850003044e-07] = -2.6752918903190987e-09
70: [1.1766539387671004e-07, 1.1766539387671004e-07] = -2.675291946829974e-09
71: [1.193463292875473e-07, 1.193463292875473e-07] = -2.6752920033408505e-09
72: [1.2102726473254246e-07, 1.2102726473254246e-07] = -2.6752920598517277e-09
73: [1.2270820021169564e-07, 1.2270820021169564e-07] = -2.675292116362606e-09
74: [1.2438913572500658e-07, 1.2438913572500658e-07] = -2.675292172873505e-09
75: [1.2607007127247434e-07, 1.2607007127247434e-07] = -2.675292229384386e-09
76: [1.2775100685409994e-07, 1.2775100685409994e-07] = -2.6752922858952682e-09
77: [1.2943194246988337e-07, 1.2943194246988337e-07] = -2.675292342406171e-09
78: [1.311128781198259e-07, 1.311128781198259e-07] = -2.675292398917065e-09
79: [1.3279381380392448e-07, 1.3279381380392448e-07] = -2.675292455427951e-09
80: [1.3447474952218092e-07, 1.3447474952218092e-07] = -2.675292511938857e-09
81: [1.361556852745945e-07, 1.361556852745945e-07] = -2.675292568449764e-09
82: [1.3783662106116668e-07, 1.3783662106116668e-07] = -2.675292624960662e-09
83: [1.3951755688189624e-07, 1.3951755688189624e-07] = -2.675292681471572e-09
84: [1.4119849273678357e-07, 1.4119849273678357e-07] = -2.675292737982473e-09
85: [1.4287942862582916e-07, 1.4287942862582916e-07] = -2.675292794493385e-09
86: [1.4456036454903227e-07, 1.4456036454903227e-07] = -2.6752928510042976e-09
87: [1.4624130050639282e-07, 1.4624130050639282e-07] = -2.6752929075152025e-09
88: [1.4792223649791164e-07, 1.4792223649791164e-07] = -2.6752929640261272e-09
89: [1.4960317252358776e-07, 1.4960317252358776e-07] = -2.6752930205370437e-09
90: [1.5128410858342178e-07, 1.5128410858342178e-07] = -2.675293077047971e-09
91: [1.5296504467741216e-07, 1.5296504467741216e-07] = -2.67529313355889e-09
92: [1.546459808055616e-07, 1.546459808055616e-07] = -2.675293190069819e-09
93: [1.5632691696786895e-07, 1.5632691696786895e-07] = -2.67529324658075e-09
94: [1.58007853164334e-07, 1.58007853164334e-07] = -2.6752933030916727e-09
95: [1.596887893949557e-07, 1.596887893949557e-07] = -2.6752933596026057e-09
96: [1.6136972565973642e-07, 1.6136972565973642e-07] = -2.67529341611354e-09
97: [1.6305066195867502e-07, 1.6305066195867502e-07] = -2.675293472624475e-09
98: [1.6473159829177092e-07, 1.6473159829177092e-07] = -2.675293529135412e-09
99: [1.6641253465902406e-07, 1.6641253465902406e-07] = -2.6752935856463684e-09
100: [1.680934710604363e-07, 1.680934710604363e-07] = -2.675293642157308e-09
101: [1.6977440749600536e-07, 1.6977440749600536e-07] = -2.6752936986682476e-09
102: [1.714553439657323e-07, 1.714553439657323e-07] = -2.6752937551792083e-09
103: [1.7313628046961717e-07, 1.7313628046961717e-07] = -2.675293811690151e-09
104: [1.748172170076599e-07, 1.748172170076599e-07] = -2.6752938682011037e-09
105: [1.764981535798619e-07, 1.764981535798619e-07] = -2.6752939247120586e-09
106: [1.7817909018622e-07, 1.7817909018622e-07] = -2.675293981223014e-09
107: [1.7986002682673617e-07, 1.7986002682673617e-07] = -2.6752940377339796e-09
108: [1.8154096350141047e-07, 1.8154096350141047e-07] = -2.6752940942449474e-09
109: [1.8322190021024205e-07, 1.8322190021024205e-07] = -2.6752941507559064e-09
110: [1.8490283695323106e-07, 1.8490283695323106e-07] = -2.6752942072668763e-09
111: [1.8658377373037904e-07, 1.8658377373037904e-07] = -2.6752942637778473e-09
112: [1.8826471054168377e-07, 1.8826471054168377e-07] = -2.6752943202888097e-09
113: [1.8994564738714545e-07, 1.8994564738714545e-07] = -2.6752943767997832e-09
114: [1.9162658426676606e-07, 1.9162658426676606e-07] = -2.6752944333107675e-09
