learning rate = 0.1
start point = [0.75, -1.25]

results: 
1: [0.6806996219580232, -1.3180652479344592] = -1.0494184874259355e-12
2: [0.5922622584625497, -1.373959854044704] = -3.4066971056745324e-13
3: [0.4825383006901991, -1.4166761743896286] = -1.0941689406795053e-13
4: [0.3548176605901758, -1.447209719524629] = -3.50887164337719e-14
5: [0.216683858211009, -1.4683715326354498] = -1.1334799530446902e-14
6: [0.07542489194681257, -1.4832139370697806] = -3.703411376277665e-15
7: [-0.06436928250702004, -1.4940032855321128] = -1.224016062884928e-15
8: [-0.20041477969493754, -1.5021776677594634] = -4.0859342448656054e-16
9: [-0.33174766558612834, -1.5086163274809055] = -1.374912799661298e-16
10: [-0.4580474488009033, -1.51386632838463] = -4.6551541632014854e-17
11: [-0.5792754253114724, -1.5182817917470137] = -1.5831767759334925e-17
12: [-0.6954924927257936, -1.5221036684461842] = -5.399558571938782e-18
13: [-0.8067646287329775, -1.525505923118883] = -1.8437325786002155e-18
14: [-0.9131073492624175, -1.5286237175102075] = -6.291115178200357e-19
15: [-1.0144436084790436, -1.5315723301398179] = -2.139990871636263e-19
16: [-1.110559818785502, -1.5344619195798856] = -7.232858245239299e-20
17: [-1.2010480265846026, -1.5374114508214194] = -2.4167729420428872e-20
18: [-1.2852225845957186, -1.5405639452404114] = -7.917893203437653e-21
19: [-1.3620019353421262, -1.5441027185112577] = -2.506907686770876e-21
20: [-1.4297647805956852, -1.5482587121366678] = -7.4641704175610815e-22
21: [-1.486265900292305, -1.5532660848847897] = -1.978590579475855e-22
22: [-1.528897258748143, -1.55914224619832] = -4.154394494241565e-23
23: [-1.555802036928311, -1.5651348226094033] = -5.30711043776433e-24
24: [-1.5679267218763593, -1.5693635537865014] = -2.20388125120206e-25
25: [-1.5706506344374058, -1.5707056894815465] = -6.8123165883242655e-28
26: [-1.570795879459057, -1.5707960016849707] = -7.486016849757995e-33
27: [-1.5707963267902694, -1.570796326791159] = -8.902041724468747e-43
28: [-1.5707963267948966, -1.5707963267948966] = -1.9299471984961855e-52
