learning rate = 0.1
start point = [0.1, 1]

results: 
1: [0.09, 0.8999999999999999] = 0.8909999999999998
2: [0.08100000000000002, 0.8099999999999996] = 0.7217099999999994
3: [0.07289999999999977, 0.728999999999997] = 0.5845850999999953
4: [0.06560999999999984, 0.6560999999999997] = 0.4735139309999994
5: [0.05904899999999996, 0.5904900000000001] = 0.38354628411
6: [0.053144099999999986, 0.5314409999999997] = 0.3106724901290997
7: [0.047829689999999876, 0.4782968999999999] = 0.2516447170045708
8: [0.04304672100000001, 0.43046720999999966] = 0.20383222077370222
9: [0.03874204890000003, 0.3874204889999998] = 0.1651040988266989
10: [0.03486784401000001, 0.34867844009999993] = 0.13373432004962618
11: [0.03138105960899978, 0.3138105960899976] = 0.1083247992401956
12: [0.028242953648099974, 0.28242953648100005] = 0.08774308738455978
13: [0.025418658283289982, 0.25418658283289997] = 0.07107190078149338
14: [0.022876792454961003, 0.22876792454961] = 0.057568239633009666
15: [0.020589113209464886, 0.20589113209464893] = 0.04663027410273779
16: [0.01853020188851836, 0.18530201888518372] = 0.03777052202321748
17: [0.016677181699666564, 0.16677181699666568] = 0.030594122838806283
18: [0.015009463529699995, 0.15009463529699912] = 0.024781239499433116
19: [0.013508517176729904, 0.13508517176729914] = 0.020072803994540783
20: [0.012157665459056912, 0.12157665459056922] = 0.016258971235578033
21: [0.010941898913151232, 0.10941898913151238] = 0.013169766700818226
22: [0.009847709021836105, 0.098477090218361] = 0.010667511027662734
23: [0.0088629381196525, 0.08862938119652504] = 0.008640683932406839
24: [0.00797664430768724, 0.07976644307687249] = 0.006998953985249531
25: [0.007178979876918521, 0.07178979876918529] = 0.0056691527280521275
26: [0.0064610818892266685, 0.06461081889226672] = 0.004592013709722218
27: [0.005814973700304002, 0.05814973700304005] = 0.003719531104874997
28: [0.005233476330273603, 0.052334763302736044] = 0.003012820194948748
29: [0.004710128697246244, 0.04710128697246244] = 0.002440384357908486
30: [0.0042391158275216214, 0.042391158275216195] = 0.001976711329905874
31: [0.003815204244769455, 0.038152042447694545] = 0.001601136177223755
32: [0.0034336838202925096, 0.034336838202925116] = 0.0012969203035512432
33: [0.0030903154382632605, 0.0309031543826326] = 0.0010505054458765071
34: [0.0027812838944369332, 0.027812838944369343] = 0.0008509094111599707
35: [0.002503155504993239, 0.025031555049932413] = 0.0006892366230395765
36: [0.0022528399544939166, 0.022528399544939168] = 0.0005582816646620568
37: [0.002027555959044521, 0.020275559590445247] = 0.0004522081483762657
38: [0.0018248003631400717, 0.018248003631400733] = 0.00036628860018477567
39: [0.0016423203268260654, 0.016423203268260654] = 0.0002966937661496682
40: [0.001478088294143458, 0.014780882941434589] = 0.0002403219505812312
41: [0.0013302794647291121, 0.013302794647291127] = 0.0001946607799707972
42: [0.0011972515182562017, 0.011972515182562017] = 0.0001576752317763458
43: [0.001077526366430581, 0.010775263664305815] = 0.0001277169377388401
44: [0.0009697737297875228, 0.009697737297875236] = 0.00010345071956846053
45: [0.0008727963568087711, 0.00872796356808771] = 8.3795082850453e-05
46: [0.0007855167211278937, 0.007855167211278938] = 6.78740171088669e-05
47: [0.0007069650490151045, 0.007069650490151044] = 5.497795385818219e-05
48: [0.0006362685441135938, 0.006362685441135937] = 4.4532142625127535e-05
49: [0.0005726416897022346, 0.005726416897022345] = 3.6071035526353324e-05
50: [0.0005153775207320112, 0.005153775207320112] = 2.921753877634621e-05
51: [0.00046383976865881, 0.004638397686588099] = 2.366620640884041e-05
52: [0.00041745579179292897, 0.00417455791792929] = 1.916962719116074e-05
53: [0.0003757102126136362, 0.0037571021261363596] = 1.552739802484019e-05
54: [0.0003381391913522727, 0.0033813919135227237] = 1.2577192400120555e-05
55: [0.0003043252722170453, 0.0030432527221704517] = 1.0187525844097651e-05
56: [0.00027389274499534067, 0.0027389274499534065] = 8.251895933719096e-06
57: [0.00024650347049580656, 0.002465034704958065] = 6.684035706312465e-06
58: [0.00022185312344622597, 0.002218531234462259] = 5.414068922113098e-06
59: [0.0001996678111016033, 0.001996678111016033] = 4.38539582691161e-06
