learning rate = 0.1
start point = [0.1, 1]

results: 
1: [0.09, 0.8999999999999999] = 0.8909999999999998
2: [0.08100000000000002, 0.8099999999999996] = 0.7217099999999994
3: [0.07289999999999977, 0.7289999999999971] = 0.5845850999999954
4: [0.06561, 0.6560999999999997] = 0.4735139309999996
5: [0.05904899999999996, 0.59049] = 0.3835462841099999
6: [0.053144099999999986, 0.5314409999999997] = 0.3106724901290997
7: [0.047829689999999876, 0.4782968999999998] = 0.2516447170045707
8: [0.04304672099999998, 0.4304672099999993] = 0.20383222077370192
9: [0.0387420489, 0.38742048899999976] = 0.16510409882669885
10: [0.03486784400999999, 0.3486784400999994] = 0.13373432004962577
11: [0.03138105960899999, 0.3138105960899998] = 0.10832479924019708
12: [0.028242953648099988, 0.28242953648099983] = 0.08774308738455966
13: [0.025418658283289985, 0.25418658283289974] = 0.07107190078149328
14: [0.02287679245496101, 0.22876792454960976] = 0.05756823963300955
15: [0.02058911320946489, 0.20589113209464888] = 0.04663027410273777
16: [0.018530201888518363, 0.18530201888518355] = 0.037770522023217415
17: [0.016677181699666598, 0.16677181699666552] = 0.030594122838806238
18: [0.015009463529699908, 0.150094635296999] = 0.02478123949943306
19: [0.01350851717672991, 0.13508517176729912] = 0.020072803994540776
20: [0.012157665459056928, 0.1215766545905692] = 0.01625897123557803
21: [0.010941898913151225, 0.10941898913151203] = 0.013169766700818148
22: [0.009847709021836109, 0.09847709021836104] = 0.010667511027662741
23: [0.008862938119652497, 0.08862938119652496] = 0.008640683932406825
24: [0.007976644307687238, 0.0797664430768724] = 0.006998953985249518
25: [0.007178979876918532, 0.07178979876918529] = 0.005669152728052129
26: [0.006461081889226669, 0.06461081889226666] = 0.004592013709722211
27: [0.005814973700304004, 0.058149737003039936] = 0.0037195311048749844
28: [0.005233476330273607, 0.05233476330273601] = 0.0030128201949487445
29: [0.004710128697246241, 0.0471012869724624] = 0.002440384357908482
30: [0.004239115827521619, 0.042391158275216154] = 0.00197671132990587
31: [0.003815204244769457, 0.038152042447694545] = 0.0016011361772237552
32: [0.0034336838202925113, 0.03433683820292509] = 0.0012969203035512415
33: [0.003090315438263261, 0.030903154382632577] = 0.0010505054458765056
34: [0.0027812838944369367, 0.02781283894436932] = 0.0008509094111599695
35: [0.0025031555049932403, 0.025031555049932402] = 0.000689236623039576
36: [0.002252839954493916, 0.02252839954493915] = 0.0005582816646620561
37: [0.002027555959044525, 0.02027555959044523] = 0.00045220814837626516
38: [0.0018248003631400726, 0.018248003631400708] = 0.00036628860018477486
39: [0.0016423203268260656, 0.016423203268260644] = 0.0002966937661496678
40: [0.0014780882941434585, 0.014780882941434575] = 0.0002403219505812308
41: [0.0013302794647291128, 0.013302794647291115] = 0.00019466077997079686
42: [0.0011972515182562013, 0.011972515182562007] = 0.00015767523177634556
43: [0.0010775263664305808, 0.010775263664305803] = 0.00012771693773883983
44: [0.0009697737297875237, 0.009697737297875217] = 0.00010345071956846016
45: [0.000872796356808771, 0.008727963568087704] = 8.379508285045288e-05
46: [0.0007855167211278942, 0.007855167211278937] = 6.787401710886689e-05
47: [0.0007069650490151046, 0.00706965049015104] = 5.497795385818213e-05
48: [0.0006362685441135938, 0.006362685441135937] = 4.4532142625127535e-05
49: [0.0005726416897022346, 0.005726416897022343] = 3.6071035526353304e-05
50: [0.0005153775207320111, 0.005153775207320109] = 2.921753877634618e-05
51: [0.00046383976865880985, 0.004638397686588095] = 2.3666206408840378e-05
52: [0.0004174557917929286, 0.004174557917929289] = 1.9169627191160727e-05
53: [0.000375710212613636, 0.0037571021261363596] = 1.552739802484019e-05
54: [0.00033813919135227235, 0.0033813919135227194] = 1.2577192400120524e-05
55: [0.00030432527221704495, 0.0030432527221704517] = 1.0187525844097648e-05
56: [0.0002738927449953406, 0.0027389274499534074] = 8.251895933719101e-06
57: [0.00024650347049580656, 0.002465034704958063] = 6.684035706312454e-06
58: [0.00022185312344622602, 0.002218531234462259] = 5.414068922113098e-06
59: [0.00019966781110160325, 0.001996678111016034] = 4.385395826911613e-06
