learning rate = 0.1
start point = [0.1, 1]

results: 
1: [0.09, 0.8999999999999999] = 0.8909999999999998
2: [0.08100000000000002, 0.8099999999999996] = 0.7217099999999994
3: [0.07289999999999977, 0.7289999999999971] = 0.5845850999999954
4: [0.06561, 0.6560999999999998] = 0.4735139309999997
5: [0.05904899999999996, 0.5904900000000002] = 0.38354628411000014
6: [0.05314409999999997, 0.5314409999999997] = 0.3106724901290997
7: [0.047829689999999994, 0.4782968999999999] = 0.2516447170045709
8: [0.04304672099999997, 0.4304672099999996] = 0.2038322207737021
9: [0.038742048899999985, 0.3874204889999999] = 0.16510409882669896
10: [0.03486784400999996, 0.34867844009999965] = 0.13373432004962593
11: [0.03138105960899999, 0.3138105960900001] = 0.1083247992401973
12: [0.028242953648099988, 0.28242953648099983] = 0.08774308738455966
13: [0.025418658283289985, 0.25418658283289985] = 0.07107190078149334
14: [0.022876792454961006, 0.22876792454960992] = 0.057568239633009624
15: [0.020589113209464886, 0.20589113209464882] = 0.04663027410273775
16: [0.01853020188851836, 0.18530201888518413] = 0.03777052202321763
17: [0.01667718169966656, 0.1667718169966656] = 0.030594122838806255
18: [0.015009463529699913, 0.15009463529699904] = 0.024781239499433068
19: [0.013508517176729913, 0.13508517176729914] = 0.020072803994540787
20: [0.012157665459056919, 0.12157665459056928] = 0.016258971235578047
21: [0.010941898913151237, 0.10941898913151238] = 0.013169766700818226
22: [0.009847709021836099, 0.098477090218361] = 0.010667511027662733
23: [0.008862938119652502, 0.08862938119652504] = 0.008640683932406839
24: [0.007976644307687247, 0.07976644307687249] = 0.006998953985249532
25: [0.0071789798769185415, 0.07178979876918526] = 0.0056691527280521275
26: [0.00646108188922667, 0.06461081889226672] = 0.004592013709722218
27: [0.005814973700304003, 0.05814973700304005] = 0.0037195311048749975
28: [0.005233476330273603, 0.05233476330273604] = 0.003012820194948747
29: [0.004710128697246246, 0.047101286972462436] = 0.0024403843579084857
30: [0.004239115827521619, 0.04239115827521622] = 0.001976711329905876
31: [0.0038152042447694586, 0.038152042447694545] = 0.0016011361772237554
32: [0.0034336838202925104, 0.034336838202925116] = 0.0012969203035512434
33: [0.003090315438263261, 0.030903154382632615] = 0.001050505445876508
34: [0.0027812838944369376, 0.02781283894436934] = 0.0008509094111599707
35: [0.002503155504993242, 0.02503155504993241] = 0.0006892366230395764
36: [0.002252839954493918, 0.022528399544939168] = 0.0005582816646620568
37: [0.0020275559590445255, 0.020275559590445236] = 0.00045220814837626543
38: [0.0018248003631400737, 0.01824800363140073] = 0.00036628860018477567
39: [0.0016423203268260667, 0.016423203268260654] = 0.00029669376614966823
40: [0.0014780882941434594, 0.014780882941434589] = 0.00024032195058123123
41: [0.001330279464729113, 0.013302794647291127] = 0.00019466077997079721
42: [0.0011972515182562017, 0.011972515182562028] = 0.00015767523177634605
43: [0.0010775263664305815, 0.010775263664305815] = 0.0001277169377388401
44: [0.0009697737297875237, 0.009697737297875233] = 0.00010345071956846047
45: [0.0008727963568087712, 0.00872796356808771] = 8.3795082850453e-05
46: [0.0007855167211278943, 0.007855167211278938] = 6.787401710886692e-05
47: [0.0007069650490151047, 0.007069650490151045] = 5.4977953858182204e-05
48: [0.0006362685441135941, 0.006362685441135942] = 4.4532142625127596e-05
49: [0.0005726416897022347, 0.005726416897022347] = 3.607103552635335e-05
50: [0.0005153775207320115, 0.005153775207320112] = 2.921753877634621e-05
51: [0.00046383976865881023, 0.0046383976865881] = 2.3666206408840422e-05
52: [0.0004174557917929292, 0.004174557917929288] = 1.9169627191160724e-05
53: [0.0003757102126136364, 0.0037571021261363622] = 1.552739802484021e-05
54: [0.00033813919135227256, 0.0033813919135227254] = 1.2577192400120567e-05
55: [0.00030432527221704517, 0.0030432527221704525] = 1.0187525844097655e-05
56: [0.0002738927449953407, 0.0027389274499534074] = 8.251895933719103e-06
57: [0.0002465034704958068, 0.0024650347049580638] = 6.684035706312459e-06
58: [0.00022185312344622608, 0.0022185312344622597] = 5.414068922113102e-06
59: [0.00019966781110160344, 0.0019966781110160336] = 4.385395826911612e-06
