start point = [5, 5]

results: 
0: [4.31805808 5.06805808] = 1854.5128943519105
1: [3.17061112 5.20054925] = 240.15248532461302
2: [2.5604183  5.29610155] = 18.301842097536298
3: [2.33835133 5.33844264] = 1.9587425507145935
4: [2.30647238 5.34402504] = 1.7127314163016445
5: [2.30201327 5.33833325] = 1.7105017544369208
6: [2.30477799 5.33615862] = 1.7082812281032904
7: [2.3003658  5.33058543] = 1.7060853504480162
8: [2.30310707 5.32840656] = 1.7038982503242743
9: [2.29873974 5.32294664] = 1.7017345264706252
10: [2.30145847 5.32076331] = 1.6995792429744654
11: [2.29713409 5.31541169] = 1.6974461571643369
12: [2.29983111 5.31322371] = 1.6953211935502246
13: [2.29554789 5.30797577] = 1.6932173337421137
14: [2.29822401 5.30578295] = 1.691121295367168
15: [2.29398026 5.30063438] = 1.6890453435945993
16: [2.29663623 5.29843654] = 1.6869769284496117
17: [2.29243039 5.29338331] = 1.6849276522901944
18: [2.2950669  5.29118028] = 1.6828856426189307
19: [2.29089748 5.28621862] = 1.6808618876222052
20: [2.29351521 5.28401022] = 1.6788451424805246
21: [2.28938082 5.2791366 ] = 1.676845825426658
22: [2.29198039 5.27692268] = 1.6748532740562705
23: [2.28787972 5.27213378] = 1.6728773769372538
24: [2.29046173 5.26991417] = 1.6709080128481255
25: [2.28639353 5.26520689] = 1.668954577479435
26: [2.28895853 5.26298144] = 1.6670074531507195
27: [2.28492163 5.25835283] = 1.6650755763348535
28: [2.28747017 5.25612138] = 1.6631497984574124
29: [2.28346346 5.25156869] = 1.6612386276320332
30: [2.28599604 5.2493311 ] = 1.659333352826651
31: [2.28201846 5.24485171] = 1.6574420821394804
32: [2.28453557 5.24260784] = 1.6555565130940904
33: [2.28058612 5.23819928] = 1.6536843798546883
34: [2.28308821 5.23594898] = 1.651817761831747
35: [2.27916594 5.23160892] = 1.64996404329702
36: [2.28165346 5.22935206] = 1.6481156609687004
37: [2.27775745 5.22507829] = 1.6462796714246677
38: [2.28023082 5.22281473] = 1.6444488459991535
39: [2.27636022 5.21860515] = 1.6426299341063777
40: [2.27881982 5.21633476] = 1.6408160207132783
41: [2.27497382 5.21218738] = 1.6390135670874848
42: [2.27742004 5.20991003] = 1.6372159523944345
43: [2.27359783 5.20582296] = 1.635429367397404
44: [2.27603105 5.20353851] = 1.633647467433397
45: [2.27223189 5.19950996] = 1.6318761891522648
46: [2.27465244 5.19721828] = 1.6301094473162663
47: [2.27087562 5.19324653] = 1.6283529397119787
48: [2.27328384 5.19094751] = 1.6266008249479083
49: [2.26952866 5.18703093] = 1.6248585761558614
50: [2.27192488 5.18472443] = 1.6231205812772918
51: [2.26819069 5.18086147] = 1.6213921020451552
52: [2.2705752  5.17854737] = 1.6196677421949794
53: [2.26686137 5.17473655] = 1.6179525644443968
54: [2.26923448 5.17241471] = 1.6162413756764047
55: [2.26554039 5.16865461] = 1.6145390511767714
56: [2.26790239 5.16632492] = 1.612840589147531
57: [2.26422747 5.16261418] = 1.611150688291327
58: [2.26657862 5.16027652] = 1.6094645270520485
59: [2.26292231 5.15661385] = 1.607786637722376
60: [2.26526287 5.15426808] = 1.6061123686015424
61: [2.26162463 5.15065225] = 1.604446095123479
62: [2.26395487 5.14829826] = 1.6027833256920125
63: [2.26033418 5.14472807] = 1.6011282878602926
64: [2.26265433 5.14236573] = 1.5994766409718935
65: [2.25905069 5.13884005] = 1.5978324731481972
66: [2.261361   5.13646924] = 1.5961915860482405
67: [2.25777392 5.13298698] = 1.5945579363220497
68: [2.26007461 5.13060757] = 1.5929274598191003
69: [2.25650364 5.12716768] = 1.5913039892266927
70: [2.25879493 5.12477955] = 1.5896835869212982
71: [2.25523961 5.12138103] = 1.5880699687179773
72: [2.25752171 5.11898406] = 1.5864593162839131
73: [2.25398161 5.11562594] = 1.5848552352650445
74: [2.25625472 5.11321999] = 1.5832540197786609
75: [2.25272943 5.10990135] = 1.5816591716455353
76: [2.25499376 5.10748631] = 1.58006709095927
77: [2.25148286 5.10420625] = 1.5784811817261457
78: [2.25373859 5.10178199] = 1.5768979438826347
79: [2.2502417  5.09853965] = 1.5753206893216922
80: [2.25248902 5.09610605] = 1.5737460120052444
81: [2.24900575 5.0929006 ] = 1.5721771371264552
82: [2.25124484 5.09045752] = 1.570610747148949
83: [2.24777482 5.08728817] = 1.5690499857121505
84: [2.25000585 5.0848355 ] = 1.5674916185306793
85: [2.24654874 5.08170148] = 1.5659387125873794
86: [2.24877188 5.07923908] = 1.5643881118512062
87: [2.24532731 5.07613965] = 1.5628428113138622
88: [2.24754273 5.07366738] = 1.5612997284384673
89: [2.24411037 5.07060183] = 1.55976179067517
90: [2.24631822 5.06811958] = 1.5582259844413469
91: [2.24289775 5.06508721] = 1.556695173894035
92: [2.24509819 5.06259484] = 1.5551664100701907
93: [2.24168929 5.059595  ] = 1.5536424978946628
94: [2.24388246 5.05709237] = 1.552120548880611
95: [2.24048481 5.0541244 ] = 1.5506033126067502
96: [2.24267087 5.05161138] = 1.5490879570974374
97: [2.23928417 5.04867468] = 1.5475771803082006
98: [2.24146326 5.04615113] = 1.5460682029759363
99: [2.23808722 5.04324509] = 1.544563675003764
100: [2.24025946 5.04071088] = 1.543060866197633
101: [2.2368938  5.03783492] = 1.541562381837058
102: [2.23905934 5.0352899 ] = 1.5400655372983005
103: [2.23570377 5.03244346] = 1.5385728965336143
104: [2.23786273 5.0298875 ] = 1.5370818171258598
105: [2.23451698 5.02707003] = 1.5355948248727964
106: [2.23666949 5.02450299] = 1.5341093163261155
107: [2.2333333  5.02171397] = 1.5326277821865844
108: [2.23547949 5.0191357 ] = 1.5311476548544098
109: [2.23215259 5.01637462] = 1.5296713928833878
110: [2.23429257 5.01378497] = 1.528196461511417
111: [2.23097471 5.01105134] = 1.5267252899951649
112: [2.2331086  5.00845017] = 1.5252553735014338
113: [2.22979954 5.00574351] = 1.523789114746283
114: [2.23192745 5.00313066] = 1.5223240360116488
115: [2.22862694 5.00045052] = 1.5208625161426341
116: [2.23074899 4.99782584] = 1.5194021018109702
117: [2.22745679 4.99517175] = 1.5179451505796564
118: [2.22957308 4.99253509] = 1.5164892308670956
119: [2.22628896 4.98990664] = 1.5150366814679779
120: [2.2283996  4.98725783] = 1.5135850899806138
121: [2.22512333 4.98465458] = 1.5121367788755256
122: [2.22722842 4.98199348] = 1.5106893524349827
123: [2.22395978 4.97941503] = 1.509245119184968
124: [2.22605942 4.97674147] = 1.5078016976613333
125: [2.22279819 4.97418741] = 1.5063613847654873
126: [2.22489248 4.97150123] = 1.5049218109170979
127: [2.22163845 4.96897118] = 1.5034852636579183
128: [2.22372748 4.96627221] = 1.5020493829775439
129: [2.22048043 4.96376581] = 1.500616449272337
130: [2.22256429 4.96105388] = 1.499184109839329
131: [2.21932402 4.95857074] = 1.4977546400972839
132: [2.22140282 4.95584568] = 1.4963256924352784
133: [2.21816912 4.95338547] = 1.4948995394198037
134: [2.22024293 4.95064711] = 1.4934738363596058
135: [2.2170156  4.94820947] = 1.4920508550555778
136: [2.21908452 4.94545762] = 1.490628251602856
137: [2.21586336 4.94304223] = 1.4892082990884377
138: [2.21792747 4.94027672] = 1.487788652295906
139: [2.2147123  4.93788325] = 1.4863715876186085
140: [2.21677168 4.93510389] = 1.484954756462354
141: [2.21356229 4.93273203] = 1.4835404405190398
142: [2.21561703 4.92993863] = 1.4821262857787187
143: [2.21241324 4.92758807] = 1.4807145811992595
144: [2.21446341 4.92478045] = 1.4793029653418523
145: [2.21126504 4.92245088] = 1.4778937363761644
146: [2.21331072 4.91962884] = 1.4764845234430335
147: [2.21011757 4.91731999] = 1.4750776358512359
148: [2.21215884 4.91448332] = 1.4736706913482143
149: [2.20897075 4.9121949 ] = 1.47226601229365
150: [2.21100768 4.90934342] = 1.4708612030839225
151: [2.20782446 4.90707515] = 1.4694586010288224
152: [2.20985713 4.90420864] = 1.4680557952283586
153: [2.2066786  4.90196027] = 1.4666551398319059
154: [2.20870707 4.89907852] = 1.4652542067072178
155: [2.20553306 4.89684977] = 1.463855368725804
156: [2.20755741 4.89395258] = 1.4624561785938088
157: [2.20438774 4.89174321] = 1.4610590297832662
158: [2.20640805 4.88883035] = 1.4596614539130472
159: [2.20324255 4.88664011] = 1.4582658669326627
160: [2.20525887 4.88371136] = 1.4568697774489219
161: [2.20209737 4.88154001] = 1.455475625767025
162: [2.20410977 4.87859514] = 1.4540808955550326
163: [2.20095211 4.87644245] = 1.4526880533559767
164: [2.20296065 4.87348123] = 1.4512945559678219
165: [2.19980666 4.87134698] = 1.4499028980601711
166: [2.20181141 4.86836918] = 1.4485105076221325
167: [2.19866093 4.86625313] = 1.4471199093478684
168: [2.20066194 4.8632585 ] = 1.4457285004687128
169: [2.1975148  4.86116045] = 1.4443388376132893
170: [2.19951214 4.85814875] = 1.4429482852933264
171: [2.19636817 4.85606849] = 1.4415594339963944
172: [2.19836191 4.85303946] = 1.4401696135371063
173: [2.19522095 4.85097678] = 1.4387814502037333
174: [2.19721114 4.84793017] = 1.4373922371178012
175: [2.19407303 4.84588488] = 1.4360046383300233
176: [2.19605972 4.84282042] = 1.4346159082515806
177: [2.19292431 4.84079232] = 1.4332287506801034
178: [2.19490756 4.83770975] = 1.4318403792750356
179: [2.19177468 4.83569865] = 1.430453539590926
