start point = [5, 5]

results: 
0: [4.31805808 5.06805808] = 1854.5128943519105
1: [3.36580045 7.49410699] = 152.6313498345147
2: [3.35332011 8.98162665] = 56.75565027086131
3: [ 3.3146433  10.44294984] = 8.315958702850759
4: [3.11977861 9.69504633] = 4.50788027242467
5: [2.91167765 8.40314729] = 3.7103413804252017
6: [2.68865785 7.12616709] = 2.957066812724702
7: [2.44639166 5.86843327] = 2.2275358602109305
8: [2.17972325 4.63510169] = 1.5265198651646403
9: [1.88166411 3.43316083] = 0.8928919065316523
10: [1.60176893 2.48732239] = 0.42349945333408373
11: [1.36732808 1.81462355] = 0.16513869406610998
12: [1.19234747 1.39107429] = 0.046372299100548575
13: [1.07305217 1.1372096 ] = 0.00736193859843991
14: [1.01618574 1.02939967] = 0.00036655230852052604
15: [1.00098323 1.00173632] = 1.5008976273639413e-06
16: [1.00000452 1.00000809] = 2.9641084709966e-11
17: [1. 1.] = 1.1699028558878872e-20
18: [1. 1.] = 1.355854680848614e-31
19: [1. 1.] = 1.355854680848614e-31
20: [1. 1.] = 1.355854680848614e-31
21: [1. 1.] = 1.355854680848614e-31
22: [1. 1.] = 1.355854680848614e-31
23: [1. 1.] = 1.355854680848614e-31
24: [1. 1.] = 1.355854680848614e-31
25: [1. 1.] = 1.355854680848614e-31
26: [1. 1.] = 1.355854680848614e-31
27: [1. 1.] = 1.355854680848614e-31
28: [1. 1.] = 1.355854680848614e-31
29: [1. 1.] = 1.355854680848614e-31
30: [1. 1.] = 1.355854680848614e-31
31: [1. 1.] = 1.355854680848614e-31
32: [1. 1.] = 1.355854680848614e-31
33: [1. 1.] = 1.355854680848614e-31
34: [1. 1.] = 1.355854680848614e-31
35: [1. 1.] = 1.355854680848614e-31
36: [1. 1.] = 1.355854680848614e-31
37: [1. 1.] = 1.355854680848614e-31
38: [1. 1.] = 1.355854680848614e-31
39: [1. 1.] = 1.355854680848614e-31
40: [1. 1.] = 1.355854680848614e-31
41: [1. 1.] = 1.355854680848614e-31
42: [1. 1.] = 1.355854680848614e-31
43: [1. 1.] = 1.355854680848614e-31
44: [1. 1.] = 1.355854680848614e-31
45: [1. 1.] = 1.355854680848614e-31
46: [1. 1.] = 1.232595164407831e-32
47: [1. 1.] = 1.232595164407831e-32
48: [1. 1.] = 1.232595164407831e-32
49: [1. 1.] = 1.232595164407831e-32
50: [1. 1.] = 1.232595164407831e-32
51: [1. 1.] = 1.232595164407831e-32
52: [1. 1.] = 1.232595164407831e-32
53: [1. 1.] = 1.232595164407831e-32
54: [1. 1.] = 1.232595164407831e-32
55: [1. 1.] = 1.232595164407831e-32
56: [1. 1.] = 1.232595164407831e-32
57: [1. 1.] = 1.232595164407831e-32
58: [1. 1.] = 1.232595164407831e-32
59: [1. 1.] = 1.232595164407831e-32
60: [1. 1.] = 1.232595164407831e-32
61: [1. 1.] = 1.232595164407831e-32
62: [1. 1.] = 1.232595164407831e-32
63: [1. 1.] = 1.232595164407831e-32
64: [1. 1.] = 1.232595164407831e-32
65: [1. 1.] = 1.232595164407831e-32
66: [1. 1.] = 1.232595164407831e-32
67: [1. 1.] = 1.232595164407831e-32
68: [1. 1.] = 1.232595164407831e-32
69: [1. 1.] = 1.232595164407831e-32
70: [1. 1.] = 1.232595164407831e-32
71: [1. 1.] = 1.232595164407831e-32
72: [1. 1.] = 1.232595164407831e-32
73: [1. 1.] = 1.232595164407831e-32
74: [1. 1.] = 1.232595164407831e-32
75: [1. 1.] = 1.232595164407831e-32
76: [1. 1.] = 1.232595164407831e-32
77: [1. 1.] = 1.232595164407831e-32
